date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:12:15	153401/153401	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:31%20GMT	https://template.hasthemes.com/allup/allup/shop-4-column.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/shop-4-column.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:16	173731/173731	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:41%20GMT	https://template.hasthemes.com/allup/allup/shop-right-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/shop-right-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:16	153401/153401	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:37%20GMT	https://template.hasthemes.com/allup/allup/shop-list.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/shop-list.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:16	173751/173751	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:34%20GMT	https://template.hasthemes.com/allup/allup/shop-list-left-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/shop-list-left-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:17	173731/173731	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:38%20GMT	https://template.hasthemes.com/allup/allup/shop-list-right-sidebar.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/shop-list-right-sidebar.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:17	127184/127184	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:54%20GMT	https://template.hasthemes.com/allup/allup/single-product-variable.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-variable.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:17	125226/125226	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:40%20GMT	https://template.hasthemes.com/allup/allup/single-product-affiliate.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-affiliate.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:18	129079/129079	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:46%20GMT	https://template.hasthemes.com/allup/allup/single-product-group.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-group.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:18	125766/125766	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:56%20GMT	https://template.hasthemes.com/allup/allup/single-product-tabstyle2.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-tabstyle2.html	(from https://template.hasthemes.com/allup/allup/index.html)
21:12:18	125749/125749	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Jul%202021%2004:13:51%20GMT	https://template.hasthemes.com/allup/allup/single-product-tabstyle3.html	C:/Users/nmammadov/Desktop/Allup%20template/template.hasthemes.com/allup/allup/single-product-tabstyle3.html	(from https://template.hasthemes.com/allup/allup/index.html)
